year,state,Auto,Bus,Truck,Motorcycle
1927,Arizona,72051,479,9736,271
1927,Arkansas,174595,149,32708,324
1927,California,1491301,0,224330,9905
1927,Colorado,229910,0,39875,1362
1927,Connecticut,238711,629,44272,3364
1927,Delaware,38177,0,9446,313
1927,District of Columbia,98360,581,15013,1363
1927,Florida,334033,0,63460,1449
1927,Georgia,263404,0,39946,909
1927,Hawaii,0,0,0,0
1927,Idaho,91738,0,10994,440
1927,Illinois,1255750,0,188834,6135
1927,Indiana,697897,4302,115828,3501
1927,Iowa,650292,0,56939,1787
1927,Kansas,448083,0,56462,1218
1927,Kentucky,256000,522,31097,752
1927,Louisiana,217050,0,40367,510
1927,Maine,133151,138,31647,1311
1927,Maryland,239366,695,38763,2415
1927,Massachusetts,607110,1404,88905,7245
1927,Michigan,1000759,0,160683,3585
1927,Minnesota,565614,384,82820,2295
1927,Mississippi,196622,0,22708,83
1927,Missouri,610881,0,73543,1838
1927,Montana,95219,0,19104,165
1927,Nebraska,342748,0,32480,1109
1927,Nevada,20591,0,5664,99
1927,New Hampshire,83497,0,12854,1387
1927,New Jersey,584980,4731,129882,7770
1927,New Mexico,51323,83,8799,170
1927,New York,1624974,4204,323378,17609
1927,North Carolina,391861,137,44481,1194
1927,North Dakota,144921,0,16086,277
1927,Ohio,1377889,0,204439,7749
1927,Oklahoma,438703,0,67467,1200
1927,Oregon,212965,925,32138,2030
1927,Pennsylvania,1357993,1638,206896,14267
1927,Rhode Island,98830,361,19613,1337
1927,South Carolina,179177,978,21502,325
1927,South Dakota,153404,0,17368,229
1927,Tennessee,269113,1095,27541,904
1927,Texas,997984,973,121641,3081
1927,Utah,80921,0,13862,531
1927,Vermont,73280,114,6434,601
1927,Virginia,289600,560,51668,2278
1927,Washington,327467,616,61100,2645
1927,West Virginia,217932,587,29251,1431
1927,Wisconsin,610296,550,91147,3042
1927,Wyoming,45719,0,6788,134
1928,Alabama,235137,1250,35179,611
1928,Alaska,0,0,0,0
1928,Arizona,85941,541,9356,281
1928,Arkansas,181322,203,34448,369
1928,California,1598520,0,229172,9598
1928,Colorado,243109,0,43164,1234
1928,Connecticut,261355,666,50149,2665
1928,Delaware,41346,0,10420,345
1928,District of Columbia,112737,600,15664,1292
1928,Florida,297516,0,58150,1360
1928,Georgia,278673,0,42981,1078
1928,Hawaii,0,0,0,0
1928,Idaho,97389,0,12205,424
1928,Illinois,1315389,0,195076,5826
1928,Indiana,707180,6019,115678,3124
1928,Iowa,673532,0,63398,1728
1928,Kansas,472718,0,63843,1259
1928,Kentucky,272559,754,33144,808
1928,Louisiana,224621,0,42329,625
1928,Maine,139726,130,34272,1294
1928,Maryland,248729,621,38678,2232
1928,Massachusetts,640149,1711,92096,6856
1928,Michigan,1086727,0,169839,3686
1928,Minnesota,584829,359,91512,2083
1928,Mississippi,215165,0,32506,69
1928,Missouri,637307,0,77782,1824
1928,Montana,104747,0,23017,185
1928,Nebraska,358471,167,34290,1026
1928,Nevada,21924,0,5982,94
1928,New Hampshire,87447,0,16164,1330
1928,New Jersey,628072,4916,132699,7479
1928,New Mexico,56887,95,9820,250
1928,New York,1761266,4497,335005,15802
1928,North Carolina,420642,180,50315,1244
1928,North Dakota,151881,0,22005,236
1928,Ohio,1454591,0,207490,9472
1928,Oklahoma,466528,0,66605,1124
1928,Oregon,217657,969,31170,2046
1928,Pennsylvania,1424128,2009,227791,13807
1928,Rhode Island,106118,376,20027,1166
1928,South Carolina,193829,1062,24151,432
1928,South Dakota,171334,0,21226,230
1928,Tennessee,294376,1164,30195,1059
1928,Texas,1061420,1176,161290,3481
1928,Utah,84426,0,15009,520
1928,Vermont,78668,111,7792,521
1928,Virginia,307908,629,56489,2271
